Date	Day	Sex	Old	Region	Chick	value
20150901	2	Male	10		21	치킨	16
20150901	2	Female	40		21	치킨	47
20150901	2	Male	40		22	치킨	49
20150901	2	Female	40		22	치킨	65
20150901	2	Female	20		22	치킨	29
20150901	2	Male	50		22	치킨	19
20150901	2	Male	30		22	치킨	68
20150901	2	Female	50		22	치킨	30
20150901	2	Female	30		22	치킨	96
20150901	2	Female	10		22	치킨	17
20150901	2	Female	over60		22	치킨	13
20150901	2	Male	10		22	치킨	19
20150901	2	Male	over60		22	치킨	5
20150901	2	Male	20		22	치킨	43
20150901	2	Male	20		23	치킨	41
20150901	2	Female	20		23	치킨	24
20150901	2	Female	40		23	치킨	21
20150901	2	Female	30		23	치킨	39
20150901	2	Female	50		23	치킨	14
20150901	2	Male	30		23	치킨	26
20150901	2	Male	50		23	치킨	13
20150901	2	Male	over60		23	치킨	6
20150901	2	Male	10		23	치킨	5
20150901	2	Female	over60		23	치킨	8
20150901	2	Female	10		23	치킨	7
20150901	2	Male	40		23	치킨	19
20150901	2	Male	30		24	치킨	59
20150901	2	Female	30		24	치킨	71
20150901	2	Male	50		24	치킨	15
20150901	2	Female	20		24	치킨	43
20150901	2	Male	40		24	치킨	26
20150901	2	Male	20		24	치킨	44
20150901	2	Female	40		24	치킨	42
20150901	2	Female	over60		24	치킨	16
20150901	2	Female	10		24	치킨	5
20150901	2	Male	over60		24	치킨	17
20150901	2	Male	10		24	치킨	11
20150901	2	Female	50		24	치킨	21
20150901	2	Female	20		25	치킨	40
20150901	2	Male	20		25	치킨	47
20150901	2	Male	40		25	치킨	24
20150901	2	Male	30		25	치킨	48
20150901	2	Male	50		25	치킨	19
20150901	2	Female	30		25	치킨	68
20150901	2	Female	50		25	치킨	21
20150901	2	Male	10		25	치킨	13
20150901	2	Male	over60		25	치킨	7
20150901	2	Female	10		25	치킨	5
20150901	2	Female	over60		25	치킨	8
20150901	2	Female	40		25	치킨	41
20150902	2	Female	20		1	치킨	115
20150902	3	Male	20		1	치킨	148
20150902	3	Male	40		1	치킨	89
20150902	3	Male	30		1	치킨	145
20150902	3	Male	50		1	치킨	37
20150902	3	Female	30		1	치킨	171
20150902	3	Female	50		1	치킨	49
20150902	3	Female	over60		1	치킨	17
20150902	3	Female	10		1	치킨	27
20150902	3	Male	over60		1	치킨	14
20150902	3	Male	10		1	치킨	45
20150902	3	Female	40		1	치킨	185
20150902	3	Female	50		2	치킨	35
20150902	3	Male	50		2	치킨	19
20150902	3	Female	30		2	치킨	111
20150902	3	Female	40		2	치킨	86
20150902	3	Male	20		2	치킨	56
20150902	3	Male	40		2	치킨	49
20150902	3	Female	20		2	치킨	63
20150902	3	Male	10		2	치킨	22
20150902	3	Male	over60		2	치킨	14
20150902	3	Female	10		2	치킨	24
20150902	3	Female	over60		2	치킨	24
20150902	3	Male	30		2	치킨	72
20150902	3	Male	50		3	치킨	20
20150902	3	Female	50		3	치킨	32
20150902	3	Male	30		3	치킨	54
20150902	3	Male	40		3	치킨	58
20150902	3	Female	20		3	치킨	57
20150902	3	Female	40		3	치킨	71
20150902	3	Male	20		3	치킨	44
20150902	3	Female	10		3	치킨	21
20150902	3	Female	over60		3	치킨	8
20150902	3	Male	10		3	치킨	25
20150902	3	Male	over60		3	치킨	13
20150902	3	Female	30		3	치킨	77
20150902	3	Male	30		4	치킨	175
20150902	3	Female	30		4	치킨	196
20150902	3	Male	50		4	치킨	45
20150902	3	Female	20		4	치킨	121
20150902	3	Male	40		4	치킨	99
20150902	3	Male	20		4	치킨	118
20150902	3	Female	40		4	치킨	186
20150902	3	Female	over60		4	치킨	24
20150902	3	Female	10		4	치킨	20
20150902	3	Male	over60		4	치킨	15
20150902	3	Male	10		4	치킨	43
20150902	3	Female	50		4	치킨	50
20150902	3	Female	30		5	치킨	139
20150902	3	Male	30		5	치킨	152
20150902	3	Female	50		5	치킨	24
20150902	3	Male	20		5	치킨	155
20150902	3	Female	40		5	치킨	88
20150902	3	Female	20		5	치킨	96
20150902	3	Male	40		5	치킨	60
20150902	3	Male	over60		5	치킨	7
20150902	3	Male	10		5	치킨	27
20150902	3	Female	over60		5	치킨	16
20150902	3	Female	10		5	치킨	20
20150902	3	Male	50		5	치킨	20
20150902	3	Female	50		6	치킨	21
20150902	3	Male	50		6	치킨	31
20150902	3	Female	30		6	치킨	78
20150902	3	Female	40		6	치킨	67
20150902	3	Male	20		6	치킨	40
20150902	3	Male	40		6	치킨	36
20150902	3	Female	20		6	치킨	48
20150902	3	Male	10		6	치킨	25
20150902	3	Male	over60		6	치킨	7
20150902	3	Female	10		6	치킨	11
20150902	3	Female	over60		6	치킨	6
20150902	3	Male	30		6	치킨	51
20150902	3	Male	30		7	치킨	105
20150902	3	Female	30		7	치킨	119
20150902	3	Male	50		7	치킨	33
20150902	3	Female	20		7	치킨	86
20150902	3	Male	40		7	치킨	58
20150902	3	Male	20		7	치킨	70
20150902	3	Female	40		7	치킨	125
20150902	3	Female	over60		7	치킨	10
20150902	3	Female	10		7	치킨	18
20150902	3	Male	over60		7	치킨	11
20150902	3	Male	10		7	치킨	29
20150902	3	Female	50		7	치킨	33
20150902	3	Female	30		8	치킨	57
20150902	3	Male	30		8	치킨	55
20150902	3	Female	50		8	치킨	11
20150902	3	Male	20		8	치킨	35
