date	day	sex	age	region	업종	value
20150901	2	여	10대	20	중국집	5
20150901	2	여	60대이상	20	중국집	16
20150901	2	남	30대	20	중국집	89
20150901	2	여	50대	21	중국집	38
20150901	2	남	50대	21	중국집	67
20150901	2	남	40대	21	중국집	113
20150901	2	여	40대	21	중국집	52
20150901	2	남	20대	21	중국집	62
20150901	2	여	30대	21	중국집	45
20150901	2	여	20대	21	중국집	38
20150901	2	여	60대이상	21	중국집	23
20150901	2	여	10대	21	중국집	5
20150901	2	남	60대이상	21	중국집	52
20150901	2	남	10대	21	중국집	13
20150901	2	남	30대	21	중국집	98
20150901	2	남	40대	22	중국집	53
20150901	2	남	30대	22	중국집	74
20150901	2	여	50대	22	중국집	25
20150901	2	남	20대	22	중국집	30
20150901	2	여	40대	22	중국집	69
20150901	2	여	20대	22	중국집	19
20150901	2	여	30대	22	중국집	63
20150901	2	여	10대	22	중국집	5
20150901	2	여	60대이상	22	중국집	15
20150901	2	남	10대	22	중국집	15
20150901	2	남	60대이상	22	중국집	25
20150901	2	남	50대	22	중국집	27
20150901	2	남	50대	23	중국집	56
20150901	2	여	50대	23	중국집	39
20150901	2	여	40대	23	중국집	40
20150901	2	남	40대	23	중국집	64
20150901	2	여	20대	23	중국집	43
20150901	2	남	30대	23	중국집	103
20150901	2	남	20대	23	중국집	54
20150901	2	남	60대이상	23	중국집	36
20150901	2	남	10대	23	중국집	5
20150901	2	여	60대이상	23	중국집	19
20150901	2	여	10대	23	중국집	5
20150901	2	여	30대	23	중국집	38
20150901	2	남	30대	24	중국집	154
20150901	2	여	30대	24	중국집	77
20150901	2	남	20대	24	중국집	94
20150901	2	여	20대	24	중국집	61
20150901	2	남	40대	24	중국집	117
20150901	2	남	50대	24	중국집	77
20150901	2	여	40대	24	중국집	53
20150901	2	여	60대이상	24	중국집	32
20150901	2	여	10대	24	중국집	5
20150901	2	남	60대이상	24	중국집	46
20150901	2	남	10대	24	중국집	7
20150901	2	여	50대	24	중국집	36
20150901	2	여	50대	25	중국집	31
20150901	2	남	20대	25	중국집	35
20150901	2	남	40대	25	중국집	46
20150901	2	여	40대	25	중국집	32
20150901	2	남	50대	25	중국집	36
20150901	2	여	30대	25	중국집	41
20150901	2	여	20대	25	중국집	16
20150901	2	남	10대	25	중국집	5
20150901	2	남	60대이상	25	중국집	13
20150901	2	여	10대	25	중국집	7
20150901	2	여	60대이상	25	중국집	15
20150901	2	남	30대	25	중국집	60
20150902	3	여	20대	1	중국집	109
20150902	3	남	20대	1	중국집	125
20150902	3	남	40대	1	중국집	189
20150902	3	여	40대	1	중국집	168
20150902	3	남	50대	1	중국집	101
20150902	3	여	30대	1	중국집	177
20150902	3	여	50대	1	중국집	84
20150902	3	여	60대이상	1	중국집	61
20150902	3	여	10대	1	중국집	7
20150902	3	남	60대이상	1	중국집	49
20150902	3	남	10대	1	중국집	23
20150902	3	남	30대	1	중국집	264
20150902	3	여	20대	2	중국집	18
20150902	3	남	20대	2	중국집	44
20150902	3	여	30대	2	중국집	60
20150902	3	남	30대	2	중국집	94
20150902	3	남	50대	2	중국집	52
20150902	3	남	40대	2	중국집	67
20150902	3	여	50대	2	중국집	35
20150902	3	남	10대	2	중국집	7
20150902	3	남	60대이상	2	중국집	33
20150902	3	여	10대	2	중국집	9
20150902	3	여	60대이상	2	중국집	18
20150902	3	여	40대	2	중국집	60
20150902	3	남	20대	3	중국집	40
20150902	3	여	50대	3	중국집	36
20150902	3	남	30대	3	중국집	67
20150902	3	여	30대	3	중국집	54
20150902	3	여	20대	3	중국집	20
20150902	3	여	40대	3	중국집	44
20150902	3	남	50대	3	중국집	46
20150902	3	여	10대	3	중국집	7
20150902	3	여	60대이상	3	중국집	15
20150902	3	남	10대	3	중국집	7
20150902	3	남	60대이상	3	중국집	27
20150902	3	남	40대	3	중국집	50
20150902	3	여	40대	4	중국집	74
20150902	3	여	30대	4	중국집	109
20150902	3	남	50대	4	중국집	46
20150902	3	여	50대	4	중국집	47
20150902	3	남	40대	4	중국집	97
20150902	3	남	20대	4	중국집	104
20150902	3	남	30대	4	중국집	135
20150902	3	여	60대이상	4	중국집	19
20150902	3	여	10대	4	중국집	11
20150902	3	남	60대이상	4	중국집	32
20150902	3	남	10대	4	중국집	18
20150902	3	여	20대	4	중국집	53
20150902	3	남	40대	5	중국집	52
20150902	3	남	30대	5	중국집	134
20150902	3	여	50대	5	중국집	45
20150902	3	남	50대	5	중국집	47
20150902	3	여	40대	5	중국집	50
20150902	3	여	20대	5	중국집	55
20150902	3	여	30대	5	중국집	73
20150902	3	남	60대이상	5	중국집	7
20150902	3	남	10대	5	중국집	12
20150902	3	여	60대이상	5	중국집	27
20150902	3	여	10대	5	중국집	6
20150902	3	남	20대	5	중국집	101
20150902	3	여	20대	6	중국집	34
20150902	3	남	20대	6	중국집	67
20150902	3	남	40대	6	중국집	50
20150902	3	남	30대	6	중국집	65
20150902	3	남	50대	6	중국집	37
20150902	3	여	30대	6	중국집	55
20150902	3	여	50대	6	중국집	23
20150902	3	남	10대	6	중국집	9
