species,lat,lng
양버즘나무,37.4706577,126.9375367
양버즘나무,37.4746987,126.9363814
은행나무,37.4772501,126.9610987
은행나무,37.4793889,126.9525803
복자기나무,37.4713397,126.9341301
은행나무,37.4848062,126.9072333
은행나무,37.4890524,126.9574169
왕벚나무,37.4825393,126.9503709
양버즘나무,37.4833588,126.9398353
양버즘나무,37.4806575,126.954796
양버즘나무,37.4816927,126.9129797
양버즘나무,37.4796254,126.9017808
감나무,37.4742468,126.9589662
양버즘나무,37.4820191,126.916376
은행나무,37.4810839,126.9554952
왕벚나무,37.4864956,126.9468695
양버즘나무,37.4702683,126.9437767
왕벚나무,37.480432,126.9545735
복자기나무,37.4607455,126.9229562
왕벚나무,37.4804095,126.9546206
복자기나무,37.4614218,126.9241467
복자기나무,37.4604038,126.9227965
양버즘나무,37.4798056,126.900179
복자기나무,37.4602912,126.9227684
복자기나무,37.4604489,126.9228059
복자기나무,37.4607154,126.9229327
왕벚나무,37.4607154,126.9229327
복자기나무,37.4603663,126.9227871
복자기나무,37.4606441,126.9228904
복자기나무,37.4606028,126.9228716
은행나무,37.4830587,126.9398293
왕벚나무,37.4828477,126.9472831
양버즘나무,37.4750018,126.9358942
양버즘나무,37.4777476,126.9350838
양버즘나무,37.477462,126.9368136
양버즘나무,37.4765679,126.9375167
은행나무,37.4915549,126.9270706
양버즘나무,37.4822355,126.944739
회화나무,37.4846942,126.9084938
양버즘나무,37.4815168,126.9119862
양버즘나무,37.4815974,126.912476
양버즘나무,37.4819209,126.9141971
양버즘나무,37.4821978,126.9156871
양버즘나무,37.4834285,126.9224272
양버즘나무,37.4839968,126.9276937
양버즘나무,37.4840081,126.9288995
양버즘나무,37.4820653,126.9300343
양버즘나무,37.474345,126.9360206
왕벚나무,37.4822508,126.9529247
은행나무,37.4868274,126.9290017
양버즘나무,37.4766282,126.9644002
은행나무,37.4760823,126.9645157
양버즘나무,37.4763324,126.9651173
양버즘나무,37.4708284,126.9336908
양버즘나무,37.4704733,126.9442102
양버즘나무,37.4708539,126.9401101
양버즘나무,37.4718633,126.9341531
양버즘나무,37.4710167,126.9418077
양버즘나무,37.4675069,126.9318809
은행나무,37.478287,126.9582429
은행나무,37.4781189,126.9592652
양버즘나무,37.4795841,126.9418781
양버즘나무,37.4792494,126.9475165
은행나무,37.481471,126.9549078
양버즘나무,37.4789945,126.9485936
양버즘나무,37.482426,126.9427828
양버즘나무,37.481094,126.9051729
은행나무,37.4846873,126.9133998
왕벚나무,37.4843275,126.9467297
느티나무,37.4927066,126.9258475
은행나무,37.4929782,126.9267979
소나무,37.4705664,126.9581282
은행나무,37.4683856,126.9578191
은행나무,37.465267,126.9577389
은행나무,37.4897611,126.9573411
양버즘나무,37.4790303,126.9581961
은행나무,37.466885,126.9488301
양버즘나무,37.4710325,126.9349091
양버즘나무,37.475413,126.9370583
양버즘나무,37.4845693,126.9312414
양버즘나무,37.4703218,126.9444032
양버즘나무,37.4850108,126.9350484
은행나무,37.4727622,126.9796869
양버즘나무,37.4773982,126.9347702
은행나무,37.4760621,126.9524713
양버즘나무,37.4625708,126.931901
은행나무,37.4775072,126.9521899
왕벚나무,37.4821034,126.9279836
양버즘나무,37.4821077,126.9433167
은행나무,37.4858645,126.9566147
양버즘나무,37.4839828,126.9287258
은행나무,37.4766299,126.952661
양버즘나무,37.4732891,126.9337029
은행나무,37.4640268,126.95798
양버즘나무,37.4845309,126.9330525
회화나무,37.487462,126.9279367
느티나무,37.4925235,126.9256204
양버즘나무,37.4844525,126.930179
은행나무,37.4929454,126.9270093
양버즘나무,37.4781992,126.9610872
양버즘나무,37.4802112,126.9040826
양버즘나무,37.4838022,126.9271974
은행나무,37.4764957,126.9630274
양버즘나무,37.4823612,126.9434316
감나무,37.4709668,126.9581465
양버즘나무,37.4815204,126.9300978
은행나무,37.4767439,126.9526375
양버즘나무,37.4858616,126.9341385
양버즘나무,37.4832471,126.9230042
감나무,37.475341,126.9591049
은행나무,37.4861569,126.956427
양버즘나무,37.4658083,126.9313508
은행나무,37.4708856,126.9523186
양버즘나무,37.4794142,126.9444101
은단풍,37.4862794,126.9364014
은행나무,37.4864087,126.9221921
양버즘나무,37.4840432,126.9280257
양버즘나무,37.4840161,126.9294119
복자기나무,37.4605653,126.9228529
왕벚나무,37.481646,126.9509425
양버즘나무,37.473519,126.933212
느티나무,37.4925835,126.9251748
양버즘나무,37.4795268,126.9012427
은행나무,37.490554,126.9564003
왕벚나무,37.4831561,126.9441992
왕벚나무,37.4828712,126.947016
양버즘나무,37.4815415,126.9489882
느티나무,37.4928231,126.9250528
양버즘나무,37.4897335,126.922489
은단풍,37.4885598,126.92933
양버즘나무,37.4818664,126.9457418
은행나무,37.488133,126.92864
은행나무,37.4864711,126.9225437
은행나무,37.4866074,126.9228023
양버즘나무,37.4838765,126.9380051
양버즘나무,37.4791626,126.9411405
은행나무,37.4863932,126.9225683
회화나무,37.4871435,126.926766
은행나무,37.4749662,126.9530006
감나무,37.4730957,126.9588183
은행나무,37.4719377,126.9778114
왕벚나무,37.4756827,126.9590566
왕벚나무,37.4753153,126.9590647
왕벚나무,37.4738837,126.9591033
느티나무,37.4925453,126.9254412
이팝나무,37.4789489,126.9490891
양버즘나무,37.4794614,126.9419635
양버즘나무,37.477403,126.9133535
양버즘나무,37.4785912,126.9600727
은행나무,37.4723499,126.9528455
양버즘나무,37.4655928,126.9315533
양버즘나무,37.46586,126.9313326
은행나무,37.4704087,126.9524502
은행나무,37.473788,126.98094
양버즘나무,37.4819837,126.9300392
소나무,37.4724441,126.9585877
은행나무,37.4776938,126.915619
은행나무,37.4762834,126.9639787
양버즘나무,37.4762005,126.9654525
양버즘나무,37.4746591,126.9354919
양버즘나무,37.4750052,126.9366682
은행나무,37.4767908,126.9623029
양버즘나무,37.4650905,126.9314296
양버즘나무,37.4832678,126.939359
왕벚나무,37.4830747,126.9449815
양버즘나무,37.4813053,126.9515276
은단풍,37.4865291,126.9499067
양버즘나무,37.4703532,126.9334395
양버즘나무,37.4700322,126.9332543
양버즘나무,37.4748478,126.9357387
은행나무,37.4696403,126.9518552
왕벚나무,37.4844971,126.9394748
왕벚나무,37.4863248,126.9468517
양버즘나무,37.476824,126.9641886
양버즘나무,37.4806777,126.9543309
양버즘나무,37.481842,126.9153758
양버즘나무,37.484486,126.9294523
왕벚나무,37.4838277,126.946655
양버즘나무,37.4785951,126.9325062
양버즘나무,37.4897508,126.924568
양버즘나무,37.4827369,126.920299
벚나무,37.482244,126.9509196
벚나무,37.4822464,126.9508538
벚나무,37.4825062,126.9508776
벚나무,37.4822797,126.9506085
벚나무,37.4826011,126.9498306
양버즘나무,37.484257,126.9286788
양버즘나무,37.4842721,126.9288106
은행나무,37.4834116,126.9065801
양버즘나무,37.4841589,126.9277982
양버즘나무,37.4841363,126.9276051
양버즘나무,37.4841212,126.927478
양버즘나무,37.4764405,126.9804544
복자기나무,37.4602578,126.9227584
양버즘나무,37.4764613,126.9802925
양버즘나무,37.4764625,126.9802194
복자기나무,37.4590866,126.92235
복자기나무,37.4587487,126.9220726
복자기나무,37.4587111,126.9220303
복자기나무,37.4587937,126.9221055
복자기나무,37.458835,126.9221478
복자기나무,37.4591317,126.9223735
양버즘나무,37.4764678,126.9801511
양버즘나무,37.4853163,126.9342944
은행나무,37.4722421,126.9779839
양버즘나무,37.480643,126.9540675
왕벚나무,37.4841715,126.9467096
은행나무,37.4641133,126.958011
은행나무,37.4767166,126.9628795
양버즘나무,37.476106,126.9656976
양버즘나무,37.4769523,126.9635569
양버즘나무,37.4632307,126.9318261
양버즘나무,37.4622407,126.9319518
양버즘나무,37.4708042,126.9436607
은행나무,37.4702251,126.9838902
양버즘나무,37.4846173,126.9361616
복자기나무,37.4829575,126.9198561
은행나무,37.4856185,126.9236497
양버즘나무,37.4856385,126.9342951
양버즘나무,37.4778096,126.915512
은행나무,37.4731253,126.9532621
왕벚나무,37.4728352,126.9588732
은행나무,37.467545,126.9578181
왕벚나무,37.4853796,126.946955
은행나무,37.489751,126.9278981
양버즘나무,37.4767314,126.9644223
양버즘나무,37.4822788,126.9428071
양버즘나무,37.470621,126.9416255
양버즘나무,37.4705886,126.9413143
양버즘나무,37.4711946,126.934562
은행나무,37.4895436,126.9574935
은행나무,37.4845244,126.9052348
양버즘나무,37.4797792,126.9641205
은행나무,37.4877693,126.9310915
양버즘나무,37.4826605,126.9182699
양버즘나무,37.4828957,126.9195266
양버즘나무,37.4842919,126.9291039
왕벚나무,37.4839256,126.9407399
양버즘나무,37.476516,126.9785429
왕벚나무,37.4721846,126.9777715
양버즘나무,37.471,126.9431579
느티나무,37.4856948,126.9368065
왕벚나무,37.4831245,126.9445347
은행나무,37.4836537,126.9090565
양버즘나무,37.4858132,126.9136507
