Line,Station,date,total,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-24:00,24:00-25:00
7,Naebang,20140330,6536,59,170,177,303,379,411,348,489,509,494,474,470,405,430,357,311,370,270,109,1
7,Naebang,20140331,18245,98,402,1074,1376,905,654,656,637,737,736,812,891,1240,2678,1783,1119,1186,858,333,70
7,Naebang,20140401,17949,101,381,1071,1413,960,703,622,567,706,727,703,911,1211,2856,1665,1016,1077,857,338,64
7,Naebang,20140402,18090,106,364,1052,1463,919,677,605,712,700,706,826,880,1233,2945,1681,911,1079,818,341,72
7,Naebang,20140403,17793,87,379,1042,1434,924,663,656,604,642,705,783,977,1154,2828,1605,969,1073,844,370,54
7,Naebang,20140404,17996,95,351,1001,1396,869,669,637,634,677,741,934,1025,1257,3045,1677,877,947,732,365,67
7,Naebang,20140405,10240,90,215,268,531,675,572,655,718,755,758,675,753,823,688,553,438,543,378,151,1
7,Naebang,20140406,6572,77,146,178,289,405,412,405,428,485,478,461,458,439,430,367,341,387,277,108,1
7,Naebang,20140407,18470,105,393,1059,1422,917,678,683,553,691,686,813,1061,1249,2955,1709,1044,1198,847,336,71
7,Naebang,20140408,18408,106,370,1007,1458,949,713,687,643,694,668,823,937,1249,2893,1706,993,1220,903,335,54
7,Naebang,20140409,18269,102,356,1008,1432,911,639,610,723,714,705,857,931,1310,2935,1669,995,1099,891,325,57
7,Naebang,20140410,18024,88,370,1036,1430,877,676,615,610,631,716,853,942,1219,2967,1566,998,1102,917,342,69
7,Naebang,20140411,18148,108,336,973,1380,856,718,653,610,708,736,829,1005,1353,3016,1598,984,951,877,392,65
7,Naebang,20140412,10157,106,212,280,520,676,572,629,696,772,700,769,726,849,690,530,401,472,427,130, - 
7,Naebang,20140413,6630,75,170,220,302,401,377,389,435,493,529,487,481,444,409,358,327,334,271,128, - 
7,Naebang,20140414,18568,107,395,1066,1398,923,676,643,645,692,722,863,893,1333,2982,1765,1012,1193,882,313,65
