year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2008,gulogu,died,22,1,1,4,3,3,3,0,3,4
2008,gulogu,injured,2348,136,291,475,431,491,337,72,74,41
2008,gemchungu,died,14,2,1,1,3,2,1,0,1,3
2008,gemchungu,injured,1405,69,150,272,305,288,211,33,42,35
2008,yeongdeungpogu,died,36,0,0,7,1,8,8,3,4,5
2008,yeongdeungpogu,injured,3309,127,311,741,686,708,477,94,107,58
2008,dongjakgu,died,10,1,1,1,1,1,4,0,1,0
2008,dongjakgu,injured,1436,87,144,326,297,261,198,47,48,28
2008,gwanakgu,died,13,2,1,5,0,2,1,0,0,2
2008,gwanakgu,injured,2710,122,237,700,518,526,379,84,81,63
2008,suchogu,died,17,0,1,2,2,3,5,0,1,3
2008,suchogu,injured,3312,104,178,845,841,691,441,80,89,43
2008,gangnamgu,died,25,0,0,8,5,6,4,1,0,1
2008,gangnamgu,injured,4469,122,215,"1,263","1,121",886,628,103,83,48
2008,songpagu,died,30,0,2,9,3,4,5,2,2,3
2008,songpagu,injured,3925,222,307,880,783,817,588,133,105,90
2008,gangdonggu,died,13,1,1,5,1,2,1,0,1,1
2008,gangdonggu,injured,2352,161,278,436,401,518,359,81,67,51
2009,jongnogu,died,18,0,0,5,0,9,0,1,0,3
2009,jongnogu,injured,2211,49,118,496,487,475,380,85,60,61
2009,junggu,died,12,0,0,0,0,3,1,0,3,5
2009,junggu,injured,2078,43,104,545,427,432,331,56,87,53
2009,yongsangu,died,20,0,2,5,5,2,2,0,2,2
2009,yongsangu,injured,1927,53,85,468,445,398,285,75,74,44
2009,sungdonggu,died,13,1,0,4,3,3,0,0,2,0
2009,sungdonggu,injured,1745,69,139,386,357,367,252,69,60,46
2009,gwangjingu,died,26,0,0,6,2,2,8,2,3,3
2009,gwangjingu,injured,2335,104,217,565,453,470,348,67,71,40
2009,dongdaemungu,died,27,1,1,3,5,4,6,1,2,4
2009,dongdaemungu,injured,2615,102,190,532,480,541,442,122,120,86
2009,junglanggu,died,15,0,3,1,1,0,4,1,2,3
2009,junglanggu,injured,2825,211,290,470,528,682,410,76,88,70
2009,sungbukgu,died,15,0,0,2,1,2,2,1,2,5
2009,sungbukgu,injured,2617,139,243,554,472,536,409,89,107,68
2009,gangbukgu,died,20,1,0,2,4,6,3,0,3,1
