code,name,value,population,ratio
1117062,고척2동,455,30807,1.47693705975915
1117064,개봉2동,389,34920,1.11397479954181
1117065,개봉3동,386,22287,1.73195136178041
1117067,오류1동,452,21908,2.06317327003834
1117068,오류2동,558,45858,1.21679968598718
1117069,수궁동,318,25905,1.22756224667053
1117070,가리봉동,571,19630,2.90881304126337
1117071,구로2동,661,39124,1.68950005111952
1117072,개봉1동,617,36050,1.71151178918169
1118051,가산동,444,23961,1.85301114310755
1118052,독산1동,1171,34550,3.38929088277858
1118053,독산2동,693,23607,2.93556995806329
1118054,독산3동,808,32007,2.52444777704877
1118055,독산4동,518,20028,2.58637906930298
1118057,시흥1동,937,38688,2.42193961952026
1118058,시흥2동,971,24770,3.92006459426726
1118059,시흥3동,187,12794,1.46162263561044
1118060,시흥4동,764,24126,3.16670811572577
1118061,시흥5동,928,23499,3.94910421720073
1119054,여의동,29,33934,0.0854600106088289
1119055,당산1동,323,21228,1.5215752779348
1119056,당산2동,138,35480,0.388951521984216
1119061,양평1동,155,17044,0.909410936399906
1119062,양평2동,115,22090,0.520597555454957
1119063,신길1동,545,22847,2.38543353613166
1119065,신길3동,495,17206,2.87690340578868
1119066,신길4동,463,13379,3.46064728305553
1119067,신길5동,515,18179,2.83293910556136
1119068,신길6동,381,24189,1.5750961180702
1119069,신길7동,188,15524,1.21102808554496
1119070,대림1동,409,19410,2.10716125708398
1119071,대림2동,428,25507,1.67797075312659
1119072,대림3동,520,31780,1.63624921334172
1119073,영등포본동,509,27313,1.86358144473328
1119074,영등포동,1061,20606,5.14898573231098
1119075,도림동,408,23495,1.73653968929559
1119076,문래동,191,32224,0.59272591857001
1120052,노량진2동,333,15712,2.11939918533605
1120053,상도1동,645,48197,1.33825756789842
1120054,상도2동,291,25927,1.1223820727427
1120055,상도3동,431,25358,1.69966085653443
1120056,상도4동,553,30010,1.84271909363545
1120063,사당1동,283,23864,1.18588669125042
1120065,사당3동,223,26174,0.851990524948422
1120066,사당4동,229,15038,1.52280888416013
1120067,사당5동,214,15161,1.4115163907394
1120068,대방동,899,40180,2.23743155798905
1120069,신대방1동,194,28603,0.678250533160857
1120070,신대방2동,197,21414,0.919958905388998
1120071,흑석동,456,38487,1.18481565203835
1120072,노량진1동,521,33889,1.53737200861637
1120073,사당2동,252,31247,0.806477421832496
1121052,보라매동,496,27127,1.82843661296863
1121054,청림동,372,16828,2.21060137865462
1121057,행운동,709,30317,2.33862189530626
1121058,낙성대동,203,18732,1.08370702541106
1121061,중앙동,226,15211,1.48576687923213
1121062,인헌동,213,28240,0.754249291784703
1121063,남현동,84,18315,0.458640458640459
1121064,서원동,427,24057,1.77495115766721
1121065,신원동,493,20267,2.43252578082597
1121066,서림동,416,25137,1.65493097823925
1121068,신사동,491,27040,1.81582840236686
1121069,신림동,219,20780,1.05389797882579
1121071,난향동,352,17485,2.01315413211324
1121072,조원동,262,20328,1.28886265249902
1121073,대학동,309,23570,1.31098854476029
1121078,은천동,900,36727,2.45051324638549
1121079,성현동,1109,34321,3.23125783048279
1121080,청룡동,461,34322,1.34316182040674
1121081,난곡동,1007,30860,3.26312378483474
1121082,삼성동,866,28426,3.04650671920073
1121083,미성동,784,33870,2.31473280188958
1122051,서초1동,200,21516,0.92954080684142
1122052,서초2동,56,22530,0.248557478917
1122053,서초3동,156,30647,0.509022090253532
1122054,서초4동,15,28468,0.0526907404805396
1122055,잠원동,140,34367,0.407367532807635
1122056,반포본동,4,13473,0.0296890076449195
1122057,반포1동,156,34004,0.458769556522762
1122058,반포2동,6,20022,0.0299670362601139
1122059,반포3동,16,24152,0.0662471016893011
1122060,반포4동,42,20726,0.202644022001351
1122061,방배본동,114,22349,0.510089936909929
1122062,방배1동,123,17479,0.703701584758853
1122063,방배2동,213,28817,0.739147031266266
1122064,방배3동,138,25292,0.545627075755179
1122065,방배4동,177,26179,0.676114442874059
1122066,양재1동,1345,47501,2.83151933643502
1122067,양재2동,306,23978,1.27616982233714
1122068,내곡동,127,12788,0.993118548639349
1123051,신사동,142,19114,0.742910955320707
1123052,논현1동,270,25751,1.04850297075842
1123053,논현2동,298,22441,1.32792656298739
1123058,삼성1동,69,15800,0.436708860759494
1123059,삼성2동,198,32170,0.615480261112838
1123060,대치1동,17,19804,0.0858412441930923
